business_name,category,phone,mobile_phone,email,website,city,county,coverage_area,source,scraped_date
Sam & Steph's Plumbing,plumbers,,07307210424,,,"Liverpool, Wirral, Chester",Merseyside,"Wirral, Chester, Liverpool, Wales",trustatrader,2026-06-09
DD Wilson Gas and Heating Engineers Ltd,plumbers,,07307251538,,,Merseyside,Merseyside,"Merseyside, Liverpool",trustatrader,2026-06-09
RS Contractors NW Ltd,plumbers,,07401483585,,,Liverpool,Merseyside,Liverpool,trustatrader,2026-06-09
MRH Plumbing Services,plumbers,,07308514218,,,"Liverpool, Wirral, Chester, Knowsley",Merseyside,"Liverpool, Wirral, Chester, Knowsley",trustatrader,2026-06-09
Birtchley Ross Ltd,plumbers,,07588691369,,,Liverpool,Merseyside,"Merseyside, Cheshire, Lancashire",trustatrader,2026-06-09
Tailored Trade Services,plumbers,,07576583064,,,Liverpool,Merseyside,Liverpool,trustatrader,2026-06-09
Hatters Plumbing and Heating,plumbers,,07360496728,,,Merseyside,Merseyside,Merseyside,trustatrader,2026-06-09
MEC Merseyside Ltd,plumbers,,07307237250,,,Merseyside,Merseyside,Merseyside,trustatrader,2026-06-09
Murray Plumbing & Heating,plumbers,,07307270264,,,Prenton,Merseyside,Prenton,trustatrader,2026-06-09
AME Gas Services Ltd,plumbers,,07360277495,,,"Liverpool, Wirral, Chester",Merseyside,"Liverpool, Wirral, Chester",trustatrader,2026-09
L&W Heating & Plumbing Ltd,plumbers,,07307212889,,,Warrington,Cheshire,"St Helens, Newton-le-Willows, Warrington, Widnes, Runcorn, Wigan, Golborne, Leigh",trustatrader,2026-06-09
M&C / J&M Plumbing & Heating,plumbers,,07307265768,,,Warrington,Cheshire,"Manchester, Cheshire, Warrington, Liverpool, Oldham, Bolton, Wigan, Stockport, Bury, Crewe, Chester",trustatrader,2026-06-09
Martyn The Plumber,plumbers,,07782504956,,,Warrington,Cheshire,Warrington,trustatrader,2026-06-09
RW Plumbing,plumbers,,07307210573,,,Chester,Cheshire,Cheshire,trustatrader,2026-06-09
LPW Plumbing Services,plumbers,,07307208218,,,Ellesmere Port,Cheshire,"Cheshire, Chester, Warrington, Liverpool, Crewe, Runcorn",trustatrader,2026-06-09
Ace Gas NW Ltd,plumbers,,07863752677,,,Leigh,Greater Manchester,Wigan,trustatrader,2026-06-09
Aquafix Plumbing Ltd,plumbers,,07360271823,,,Altrincham,Greater Manchester,Altrincham,trustatrader,2026-06-09
Brogas,plumbers,,07307205377,,,Wigan,Greater Manchester,"Wigan, Leigh, Warrington, St Helens, Bolton, Preston",trustatrader,2026-06-09
CC Plumbing & Heating,plumbers,,07809686972,,,Tyldesley,Greater Manchester,North West,trustatrader,2026-06-09
Monton Plumbing and Building Services,plumbers,,07307209375,,,Manchester,Greater Manchester,Manchester,trustatrader,2026-06-09
PlumbServNW,plumbers,,07307212016,,,Manchester,Greater Manchester,Greater Manchester,trustatrader,2026-06-09
Jake Rogers Plumbing,plumbers,,07472246181,,,Droylsden,Greater Manchester,UK,trustatrader,2026-06-09
Gas Tight North West,plumbers,,07307205685,,,Rochdale,Greater Manchester,"North West, Manchester",trustatrader,2026-06-09
JB Heating Services,plumbers,,07360496854,,,Manchester,Greater Manchester,Manchester,trustatrader,2026-06-09
JB7 Plumbing and Heating Limited,plumbers,,07307272699,,,Manchester,Greater Manchester,Manchester,trustatrader,2026-06-09
DPS Plumbing & Bathrooms,plumbers,,07882968199,,,Salford,Greater Manchester,"Manchester, Salford",trustatrader,2026-06-09
Heys Plumbing,plumbers,,07308501715,,,"Manchester, Bury, Prestwich",Greater Manchester,"Manchester, Bury, Prestwich",trustatrader,2026-06-09
Grant's Heating,plumbers,,07426302137,,,Stockport,Greater Manchester,Stockport,trustatrader,2026-06-09
Keating Plumbing Services,plumbers,,07445041382,,,Bolton,Greater Manchester,Bolton,trustatrader,2026-06-09
Firwood Plumbing and Heating,plumbers,,07307225351,,,Bolton,Greater Manchester,"Bolton, Bury, Chorley, Blackburn, Leigh, Wigan",trustatrader,2026-06-09
T J Entwistle Plumbing & Heating,plumbers,,07307264409,,,Bolton,Greater Manchester,Bolton,trustatrader,2026-06-09
Wayne Stott Plumbing,plumbers,,07955310106,,,Oldham,Greater Manchester,"Manchester, Oldham",trustatrader,2026-06-09
Hobson's Gas & Plumbing Ltd,plumbers,,07307204847,,,Ashton-under-Lyne,Greater Manchester,"Ashton, Stalybridge, Oldham, Greater Manchester",trustatrader,2026-06-09
Kingston Plumbing & Heating,plumbers,,07453365453,,,Stalybridge,Greater Manchester,Greater Manchester,trustatrader,2026-06-09
EM Plumbing and Heating,plumbers,,07307203711,,,Ashton-under-Lyne,Greater Manchester,Ashton,trustatrader,2026-06-09
24-7 Gas Services Limited,plumbers,,07360273041,,,Hyde,Greater Manchester,"Hyde, Manchester",trustatrader,2026-06-09
Warmflame Gas Ltd,plumbers,01614101233,,,Stockport,Greater Manchester,"Stockport, Hazel Grove, Bramhall, Cheadle Hulme",trustatrader,2026-06-09
JD Property Services (Manchester) Ltd,plumbers,,07886065676,,,Cheadle,Greater Manchester,Manchester,trustatrader,2026-06-09
LC Heating & Plumbing,plumbers,,07360273672,,,Chorley,Lancashire,Chorley,trustatrader,2026-06-09
Elite Heat Management Ltd,plumbers,,07360272042,,,Preston,Lancashire,"Preston, Blackpool",trustatrader,2026-06-09
Goldcrest,plumbers,,07307206154,,,Preston,Lancashire,Preston,trustatrader,2026-06-09
GPB Plumbing Services,plumbers,,07307205722,,,Preston,Lancashire,Preston,trustatrader,2026-06-09
Lancashire Installations Ltd,plumbers,,07307201277,,,Preston,Lancashire,"Preston, Chorley, Blackburn",trustatrader,2026-06-09
Alex Palmer Plumbing & Heating Ltd,plumbers,,07700171092,,,Morecambe,Lancashire,"Lancaster, Morecambe",trustatrader,2026-06-09
Home Saviours Ltd,plumbers,,07886066580,,,Stoke-on-Trent,Staffordshire,"West Midlands, Stoke-on-Trent",trustatrader,2026-06-09
Heat Safe Gas Services,plumbers,,07360270941,,,Newcastle-under-Lyme,Staffordshire,"Stoke-on-Trent, Newcastle",trustatrader,2026-06-09
GJN Plumbing,plumbers,,07775336764,,,Cannock,Staffordshire,"Stafford, Stone, Cannock, Wolverhampton",trustatrader,2026-06-09
