Term,Type,Description
Liverpool,Primary Topic,Main focus - Liverpool Football Club
Liverpool FC,Primary Topic,Full club name
Anfield,Primary Topic,Liverpool's stadium
Transfer News,Category,News about player transfers
Injury News,Category,News about player injuries
Match Previews,Category,Pre-match coverage and predictions
WSL,Category,Women's Super League - Liverpool Women
Breaking News,News Type,Latest breaking stories
Most Popular,News Type,Top trending stories
Top Stories,News Type,Most read articles
Trending,News Type,Currently trending content
Video,Content Type,Video content and highlights
Poll,Interactive,Fan polls and voting
Fixtures and Results,Section,Match schedules and results
